No.,Time,Source,Destination,Protocol,Length,Info,Clasificacion_MLP,Clasificacion_RF,Confianza_MLP,Confianza_RF
3809,6.977206,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4536183 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3810,6.977206,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4537643 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3811,6.977206,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4539103 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3812],Normal,Normal,100.0%,100.0%
3812,6.977206,2.19.172.145,10.157.66.26,TLSv1.2,1514,"Encrypted Alert, Ignored Unknown Record",Normal,Normal,100.0%,100.0%
3813,6.977206,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3814,6.977206,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3815,6.977206,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3816,6.977206,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3817,6.977206,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3818,6.977206,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3819,6.977206,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3820,6.977206,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3821,6.977206,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3822,6.977278,10.157.66.26,2.19.172.145,TCP,66,[TCP Dup ACK 3702#4] 50089  >  443 [ACK] Seq=7922 Ack=4372663 Win=8217 Len=0 SLE=4403323 SRE=4555163,Normal,Normal,100.0%,100.0%
3823,6.97734,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3824,6.97734,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3825,6.97734,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3826,6.97734,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3827,6.97734,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3828,6.97734,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3829,6.97734,2.19.172.145,10.157.66.26,TLSv1.2,1514,Ignored Unknown Record,Normal,Normal,100.0%,100.0%
3830,6.97734,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4565383 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3831,6.97734,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4566843 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3832,6.97734,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4568303 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3833,6.97734,2.19.172.145,10.157.66.26,TCP,1514,"443  >  50089 [PSH, ACK] Seq=4569763 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874]",Normal,Normal,100.0%,100.0%
3834,6.97734,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4571223 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
